areas_of_interest,consultations,detailOfTypeDoc,experience,image_url,name,profile_url,qualifications,reviews,satisfaction,specialization,totalNumOfDocs,typeOfDoc
PRP,"[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""MedEast Medical Center, Paragon City, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""MedEast Medical Center, Paragon City, Lahore""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,35,https://staticconnect.marham.pk/assets/doctors/34503/dr-muhammad-amjad-dermatologist-lahore-70_170X170.webp,Dr. Muhammad Amjad,https://www.marham.pk/online-consultation/dermatologist/lahore/dr-muhammad-amjad-34503,"MBBS, MCPS (Dermatology), FCPS (Dermatology)",34503,98,Dermatologist,1319,Dermatologist
"Acne, Acne Scars, Melasma, Hairfall","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Chughtai Medical Centre, DHA Phase 4, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Chughtai Medical Centre, DHA Phase 4, Lahore""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,15,https://staticconnect.marham.pk/assets/doctors/5396/dr-umer-mushtaq-dermatologist-lahore-79_170X170.webp,Dr. Umer Mushtaq,https://www.marham.pk/doctors/lahore/dermatologist/dr-umer-mushtaq,"MBBS, FCPS (Dermatology), CAAAM (USA)",0,97,Dermatologist,1319,Dermatologist
"Hair Problems, Acne And Acne Scars, Thread Up Lighting Warts Removal, Aesthetic Procedures","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Deep Ocean Dermatology, Skin Laser Center, Clifton, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Deep Ocean Dermatology, Skin Laser Center, Clifton, Karachi""}, {""type"": ""Skin Laser & Cosmetology Center, Saddar, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Skin Laser & Cosmetology Center, Saddar, Karachi""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,27,https://staticconnect.marham.pk/assets/doctors/9226/dr-zafar-ahmed-dermatologist-karachi-34_170X170.webp,Dr. Zafar Ahmed,https://www.marham.pk/doctors/karachi/dermatologist/dr-zafar-ahmed,"MBBS, CRCP, D.DERM (Thailand ), Diploma in Dermato-Surgery (Bangkok), Research Course (UK)",0,96,Dermatologist,1319,Dermatologist
"PRP, Skin Diseases, Aesthetic Procedures, Lasers, Aesthetics","[{""type"": ""Nelson Medical Complex, Abid Majeed Road, Rawalpindi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Nelson Medical Complex, Abid Majeed Road, Rawalpindi""}, {""type"": ""Islamabad  Aesthetic Center, F8 Markaz, Islamabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Islamabad  Aesthetic Center, F8 Markaz, Islamabad""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,30,https://staticconnect.marham.pk/assets/doctors/9990/dr-professor-brigadier-asher-ahmed-dermatologist-rawalpindi-12_170X170.webp,Dr. Professor Brigadier Asher Ahmed,https://www.marham.pk/doctors/rawalpindi/dermatologist/dr-professor-brigadier-asher-ahmed,"MBBS (Pb), Dip Derma (AFPGMI), FCPS (Derm) Clinical Fellowship in Dermatopathology (UK) MCPS (HPE)",0,97,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Laser For Hair Removal, Acne","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Jannat Medical & Child Clinic, Liaqatpur, Rahim Yar Khan"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Jannat Medical & Child Clinic, Liaqatpur, Rahim Yar Khan""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,4,https://staticconnect.marham.pk/assets/doctors/20084/dr-mohammed-usman-rauf-general-practitioner-lahore-89_170X170.webp,Dr. Mohammed Usman Rauf,https://www.marham.pk/online-consultation/dermatologist/rahim-yar-khan/dr-mohammed-usman-rauf-20084,"MBBS, CCM, Diploma in Primary Skin Diseases",20084,93,Dermatologist,1319,Dermatologist
"Laser For Hair Removal, Dermatology, Anti Aging, Skin Diseases","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Skinnovation, Johar Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Skinnovation, Johar Town, Lahore""}, {""type"": ""Skinnovation (Thokar Branch), Thokar Niaz Baig, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Skinnovation (Thokar Branch), Thokar Niaz Baig, Lahore""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,12,https://staticconnect.marham.pk/assets/doctors/14765/dr-aisha-ahmad-dermatologist-lahore-9_170X170.webp,Dr. Aisha Ahmad,https://www.marham.pk/doctors/lahore/dermatologist/dr-aisha-ahmad,"MBBS, FCPS (Dermatology), Certified (Aesthetic Medicine)",0,96,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Laser For Hair Removal, Acne","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""700"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Dr Naeem Uddin Skin Clinic (k), Karachi, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""700"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Dr Naeem Uddin Skin Clinic (k), Karachi, Karachi""}, {""type"": ""Nehal Hospital, Malir, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""700"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Nehal Hospital, Malir, Karachi""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,13,https://staticconnect.marham.pk/assets/doctors/27053/dr-shamail-zia-dermatologist-karachi-76_170X170.webp,Dr. Shamail Zia,https://www.marham.pk/doctors/karachi/dermatologist/dr-shamail-zia," MBBS , MRCGP , MD , Diplomate (Dermatology) ",0,96,Dermatologist,1319,Dermatologist
"Hair Problems, Laser For Acne, Nails Treatment, Other Skin Issues, Acne And Acne Scars, Skin Rejuvenation, Stretch Marks Removal","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Khan Medical City Hospital, Al Rahim Colony, Multan"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Khan Medical City Hospital, Al Rahim Colony, Multan""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,30,https://staticconnect.marham.pk/assets/doctors/8918/dr-ghulam-mujtaba-dermatologist-multan-94_170X170.webp,Dr. Ghulam Mujtaba,https://www.marham.pk/doctors/multan/dermatologist/dr-ghulam-mujtaba,"MBBS, FCPS (Dermatology)",0,94,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Laser For Acne, Laser For Hair Removal, Acne, Acne Scars, Hair Fall, Melasma, Skin Problems, Other Skin Problems, Laser Hair Removal","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Kiran International Hospital, punjab, Sialkot"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Kiran International Hospital, punjab, Sialkot""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,10,https://staticconnect.marham.pk/assets/doctors/8791/dr-sadia-munir-rana-dermatologist-sialkot-41_170X170.webp,Dr. Sadia Munir Rana,https://www.marham.pk/doctors/sialkot/dermatologist/dr-sadia-munir-rana,"MBBS, FCPS, Internationally Certified",0,97,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Laser For Hair Removal, Acne","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""City Medical Complex, nishatabad, Faisalabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""City Medical Complex, nishatabad, Faisalabad""}, {""type"": ""Dia Scient medical complex, Gulistan Colony, Faisalabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Dia Scient medical complex, Gulistan Colony, Faisalabad""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,8,https://staticconnect.marham.pk/assets/doctors/31544/sadaf-mushtaq-dermatologist-faisalabad-69_170X170.webp,Dr. Sadaf Mushtaq,https://www.marham.pk/online-consultation/dermatologist/faisalabad/dr-sadaf-mushtaq-31544,"MBBS, FCPS (Dermatology)",31544,97,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Acne, Melasma, Laser Treatment","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Doctors Hospital, Quetta City, Quetta"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Doctors Hospital, Quetta City, Quetta""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,12,https://staticconnect.marham.pk/assets/doctors/18057/asst-prof-dr-surjeet-kumar-dermatologist-quetta-83_170X170.webp,Asst. Prof. Dr. Surjeet Kumar,https://www.marham.pk/doctors/quetta/dermatologist/asst-prof-dr-surjeet-kumar,"MBBS, FCPS(Dermatology)",0,98,Dermatologist,1319,Dermatologist
"PRP, Laser For Acne, Laser For Hair Removal, Acne Scars","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Maryam Hospital, Rehman Shaheed Road, Gujrat"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""800"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Maryam Hospital, Rehman Shaheed Road, Gujrat""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,10,https://staticconnect.marham.pk/assets/doctors/26611/dr-maryam-qayyum-dermatologist-gujrat-59_170X170.webp,Asst. Prof. Dr. Maryam Qayyum,https://www.marham.pk/doctors/gujrat/dermatologist/asst-prof-dr-maryam-qayyum,"MBBS, FCPS (Dermatology)",0,98,Dermatologist,1319,Dermatologist
"Hepatologist, Counseling, Nutritionist/Dietitian, COVID-19","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,200"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}]","An Infectious Diseases Specialist evaluates and provides treatment for diseases that come from bacterial, viral, fungal and parasitic infections.",11,https://staticconnect.marham.pk/assets/doctors/21963/dr-umar-saeed-infectious-diseases-islamabad-10_170X170.webp,Dr. Umar Saeed,https://www.marham.pk/online-consultation/infectious-diseases/islamabad/dr-umar-saeed-21963,"Post-Doc (S.Kor), PhD (S.Kor), FCR (Harvard USA), FPH (Royls Coll Phy UK), CIEH (UK), IDSR (WHO), DPH (PSEC), CPHE (ICMSR), IPC (WHO), CCRC (USA) GHC (WHO), IPPCR (USA), CGCP (NIDA USA), JRA-OT (WHO), PMP (USA),  ICG (WHO), LMO (S.Kor), IMS (WHO), CCTM (USA), TOPIK (S.Kor), PSEA (WHO), STI (PK), PISA (WHO), DRM (WHO), RWE (KARA S.Kor), NSER (KFNSER S.Kor), AMR-NAP (WHO), CMR-IPV (WHO), ACRP-Cert (USA) MS&BS (NUST PK), Member ACRP (USA), Member AGA (USA),  Member CDA (USA), Member IHME (USA), Mem",21963,98,"Infectious Diseases, Liver Specialist, Allergy Specialist, Family Medicine, Vaccine Specialist",53,Infectious Diseases
"Diabetes And Endocrinology, Diabetes And Endocrinology, Medicine, Kidney Stones, Fluid & Electrolyte Disorder, Uric Acid, Kidney Diseases, Diabetes Mellitus","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Heart And General Hospital, Model Town, Quetta"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Heart And General Hospital, Model Town, Quetta""}]","An Infectious Diseases Specialist evaluates and provides treatment for diseases that come from bacterial, viral, fungal and parasitic infections.",18,https://static.marham.pk/assets/images/doctor-photo-female-170170.webp,Prof. Dr. Irfana Hassan Mandokhail,https://www.marham.pk/doctors/quetta/nephrologist/prof-dr-irfana-hassan-mandokhail,"MBBS, FCPS(Medicine), FCPS(Nephrology)",0,97,"Nephrologist, General Physician, Internal Medicine Specialist, Infectious Diseases",53,Infectious Diseases
"All Kinds Of Bacterial, Viral, Fungal And Parasitic Infections, HIV/AIDS, Vaccinations And Immune Deficiency Related Issues, Transplant And Chemotherapy Related Infections","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Mujahid Hospital, Madina Town, Faisalabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Mujahid Hospital, Madina Town, Faisalabad""}]","An Infectious Diseases Specialist evaluates and provides treatment for diseases that come from bacterial, viral, fungal and parasitic infections.",11,https://staticconnect.marham.pk/assets/doctors/65500/dr-muhammad-arslan-infectious-diseases-faisalabad-38_170X170.webp,Dr. Muhammad Arslan,https://www.marham.pk/doctors/faisalabad/infectious-diseases/dr-muhammad-arslan,"MBBS, FCPS Medicine, Fellowship in Infectious Diseases",0,93,Infectious Diseases,53,Infectious Diseases
,"[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Hameed Latif Hospital, Garden Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""4000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Hameed Latif Hospital, Garden Town, Lahore""}, {""type"": ""Genesis Health Care Consultants Hospital, Jail Road, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""4000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Genesis Health Care Consultants Hospital, Jail Road, Lahore""}, {""type"": ""Evercare Hospital, Nespak Housing Scheme, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""4000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Evercare Hospital, Nespak Housing Scheme, Lahore""}, {""type"": ""Integrated Medical Care (IMC) Hospital, Sector F Phase 5 D.H.A, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""4000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Integrated Medical Care (IMC) Hospital, Sector F Phase 5 D.H.A, Lahore""}]","An Infectious Diseases Specialist evaluates and provides treatment for diseases that come from bacterial, viral, fungal and parasitic infections.",15,https://staticconnect.marham.pk/assets/doctors/35812/dr-ashraf-ali-khan-infectious-diseases-lahore-34_170X170.webp,Dr. Ashraf Ali Khan,https://www.marham.pk/doctors/lahore/infectious-diseases/dr-ashraf-ali-khan,"MBBS, Diplomate American Board Infectious Diseases, Diplomate American Board Internal Medicine",0,60,Infectious Diseases,53,Infectious Diseases
Infectious Diseases,"[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,200"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}]","An Infectious Diseases Specialist evaluates and provides treatment for diseases that come from bacterial, viral, fungal and parasitic infections.",11,https://staticconnect.marham.pk/assets/doctors/37254/asst-prof-dr-rabeea-shah-infectious-diseases-karachi-92_170X170.webp,Asst. Prof. Dr. Rabeea Shah,https://www.marham.pk/online-consultation/infectious-diseases/karachi/asst-prof-dr-rabeea-shah-37254,"MBBS, FCPS (Medicine), FCPS (Infectious Diseases), MRCP UK",37254,100,Infectious Diseases,53,Infectious Diseases
Management And Control Of Infectious Diseases,"[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Ali Medical Centre, F-8 Markaz, Islamabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Ali Medical Centre, F-8 Markaz, Islamabad""}]","An Infectious Diseases Specialist evaluates and provides treatment for diseases that come from bacterial, viral, fungal and parasitic infections.",12,https://staticconnect.marham.pk/assets/doctors/12989/dr-nasim-akhtar-infectious-diseases-islamabad-37_170X170.webp,Dr. Nasim Akhtar,https://www.marham.pk/doctors/islamabad/infectious-diseases/dr-nasim-akhtar,"MBBS , MCPS (Medicine) , FCPS (Medicine) , FCPS (Infectious diseases)",0,97,Infectious Diseases,53,Infectious Diseases
,"[{""type"": ""Advanced International Hospital, G-8 Markaz, Islamabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Advanced International Hospital, G-8 Markaz, Islamabad""}]","An Infectious Diseases Specialist evaluates and provides treatment for diseases that come from bacterial, viral, fungal and parasitic infections.",30,https://staticconnect.marham.pk/assets/doctors/35513/dr-muhammad-mujeeb-khan-infectious-diseases-islamabad-83_170X170.webp,Dr. Muhammad Mujeeb Khan,https://www.marham.pk/doctors/islamabad/infectious-diseases/dr-muhammad-mujeeb-khan,"MBBS, FCPS (Medicine)",0,94,"Infectious Diseases, Endocrinologist",53,Infectious Diseases
